"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name","gene_type","direction","ensembl_clean","ENTREZID"
1848.88007174187,1.10881758278619,0.0902868913196197,12.2810472991137,1.14506276340078e-34,1.25842397697746e-31,"ENSG00000038002.9","AGA","protein_coding","Up_in_MUT","ENSG00000038002","175"
190.357053042243,-1.43653634464436,0.256811857851736,-5.59373058807006,2.22241724895757e-08,3.34896738257809e-07,"ENSG00000039537.14","C6","protein_coding","Down_in_MUT","ENSG00000039537","729"
107.067722289385,1.14290371798101,0.202993503720621,5.63024775193782,1.79950943381861e-08,2.77734456005971e-07,"ENSG00000041515.16","MYO16","protein_coding","Up_in_MUT","ENSG00000041515","23026"
16044.5472198252,-1.62565326809838,0.177948542938178,-9.13552446823437,6.50904989345427e-20,1.1153221997542e-17,"ENSG00000041982.16","TNC","protein_coding","Down_in_MUT","ENSG00000041982","3371"
1608.82039807487,1.11793805877652,0.0796946801928267,14.0277626570757,1.05425344343943e-44,2.58462396121985e-41,"ENSG00000042286.15","AIFM2","protein_coding","Up_in_MUT","ENSG00000042286","84883"
4296.23713007329,-1.4100551350736,0.188150128314682,-7.4943086550293,6.66487183957705e-14,4.15687143638278e-12,"ENSG00000047936.11","ROS1","protein_coding","Down_in_MUT","ENSG00000047936","6098"
21.2720777582539,-1.03725670230727,0.226205302738115,-4.58546590089508,4.52975201930567e-06,3.58143702821362e-05,"ENSG00000049247.14","UTS2","protein_coding","Down_in_MUT","ENSG00000049247","10911"
96.1503265083114,-1.20505497223644,0.15255004214131,-7.8994076653232,2.8023193805676e-15,2.24969070473728e-13,"ENSG00000050767.17","COL23A1","protein_coding","Down_in_MUT","ENSG00000050767","91522"
998.030221980067,1.34466888556451,0.244332669091676,5.50343468420906,3.7246255906265e-08,5.29944384816327e-07,"ENSG00000053108.17","FSTL4","protein_coding","Up_in_MUT","ENSG00000053108","23105"
384.336543288529,1.20174255089392,0.157571109729322,7.62666806725098,2.40898804524695e-14,1.6300819106171e-12,"ENSG00000054277.14","OPN3","protein_coding","Up_in_MUT","ENSG00000054277","23596"
160.716163179527,2.12947619099926,0.267446038518695,7.96226484712132,1.68918428438142e-15,1.4167366401979e-13,"ENSG00000054356.14","PTPRN","protein_coding","Up_in_MUT","ENSG00000054356","5798"
563.248730774945,1.25400155129387,0.208158134299025,6.02427359140555,1.69870810478727e-09,3.43089518426332e-08,"ENSG00000055118.16","KCNH2","protein_coding","Up_in_MUT","ENSG00000055118","3757"
164.532654686859,-1.10642768449646,0.38096042682953,-2.90431133150625,0.00368061960927817,0.0113032402743597,"ENSG00000057149.16","SERPINB3","protein_coding","Down_in_MUT","ENSG00000057149","6317"
771.748067436802,-1.94357781960455,0.208768584514849,-9.30972360674464,1.28165431380812e-20,2.41701802576204e-18,"ENSG00000058335.16","RASGRF1","protein_coding","Down_in_MUT","ENSG00000058335","5923"
166.260389620372,2.03633153932155,0.300932050311891,6.76674863050001,1.31708611877247e-11,4.5976836463743e-10,"ENSG00000060709.15","RIMBP2","protein_coding","Up_in_MUT","ENSG00000060709","23504"
3552.3517510219,-1.18051054095323,0.249395618191133,-4.73348549391317,2.20696743297586e-06,1.91032751375268e-05,"ENSG00000060718.22","COL11A1","protein_coding","Down_in_MUT","ENSG00000060718","1301"
10.6388571518532,1.59617546458343,0.206008394822215,7.74810883780207,9.32711825333416e-15,6.96169990285745e-13,"ENSG00000063015.20","SEZ6","protein_coding","Up_in_MUT","ENSG00000063015","124925"
204.97518945737,-1.18607296336181,0.197688372449881,-5.9997102948607,1.97669878043352e-09,3.91787107159183e-08,"ENSG00000064195.7","DLX3","protein_coding","Down_in_MUT","ENSG00000064195","1747"
23.6383817764629,-1.35576559660789,0.271569336046468,-4.99233682397744,5.96531062674074e-07,6.14679647542367e-06,"ENSG00000065325.13","GLP2R","protein_coding","Down_in_MUT","ENSG00000065325","9340"
1.01299196527723,-1.26112677885628,0.36629286339925,-3.44294662787816,0.000575412861205381,0.00232994324729725,"ENSG00000065371.17","ROPN1","protein_coding","Down_in_MUT","ENSG00000065371","54763"
20.508406004271,1.04765156031627,0.279228194648261,3.75195478248884,0.000175461115706814,0.00084729109374119,"ENSG00000065609.14","SNAP91","protein_coding","Up_in_MUT","ENSG00000065609","9892"
3342.63061734129,-1.47181746763908,0.256942258098428,-5.72820321005845,1.01499938194965e-08,1.66490197128755e-07,"ENSG00000065618.21","COL17A1","protein_coding","Down_in_MUT","ENSG00000065618","1308"
1942.94407244608,1.4805136304541,0.122810531551191,12.0552660407384,1.81944060999124e-33,1.70551152003032e-30,"ENSG00000065833.9","ME1","protein_coding","Up_in_MUT","ENSG00000065833","4199"
3493.29543882761,-1.16121302252484,0.299927406326742,-3.87164693199064,0.000108102461678302,0.000557858412588918,"ENSG00000066405.13","CLDN18","protein_coding","Down_in_MUT","ENSG00000066405","51208"
1.45617610026742,-1.35100909212492,0.346647497594532,-3.89735711782108,9.72481629925624e-05,0.000508431135619415,"ENSG00000066813.14","ACSM2B","protein_coding","Down_in_MUT","ENSG00000066813","348158"
181.931793273218,-1.15163716034863,0.165144845475572,-6.97349745934991,3.09157022765922e-12,1.24565657048959e-10,"ENSG00000067840.12","PDZD4","protein_coding","Down_in_MUT","ENSG00000067840","57595"
136.386904795867,1.83298724091247,0.281551307171949,6.51031337529195,7.49941876349657e-11,2.17088079392733e-09,"ENSG00000069482.7","GAL","protein_coding","Up_in_MUT","ENSG00000069482","51083"
289.109113129466,1.39130308047766,0.219107284195238,6.34987141385002,2.15494977214099e-10,5.44650310768481e-09,"ENSG00000069764.10","PLA2G10","protein_coding","Up_in_MUT","ENSG00000069764","8399"
4506.80975972581,1.08440793604504,0.144445535787894,7.50738283554435,6.0321129838135e-14,3.80692025558653e-12,"ENSG00000070087.14","PFN2","protein_coding","Up_in_MUT","ENSG00000070087","5217"
1501.89945552596,-1.50006572757364,0.224462100783863,-6.68293543691846,2.34202776002015e-11,7.67039354690299e-10,"ENSG00000070182.21","SPTB","protein_coding","Down_in_MUT","ENSG00000070182","6710"
32.3013361599391,-1.44703467399002,0.206310094687266,-7.01388207001455,2.317947953248e-12,9.63172349647550e-11,"ENSG00000070193.5","FGF10","protein_coding","Down_in_MUT","ENSG00000070193","2255"
30.3625380597236,-5.05849931908209,0.42979084854347,-11.7696766606943,5.59385007255517e-32,4.57132296570271e-29,"ENSG00000070748.19","CHAT","protein_coding","Down_in_MUT","ENSG00000070748","1103"
65.2050890286228,1.40427321227969,0.404849502619473,3.46863020256591,0.000523118971140528,0.00214794186153308,"ENSG00000072041.17","SLC6A15","protein_coding","Up_in_MUT","ENSG00000072041","55117"
